index,frame,F11,F12,F21,F22,P11,P12,P21,P22,vol_square,vol_rectangle_p,vol_rectangle_m,vol_tot,Psi,Psi_me,Psi_couple,len_c,len_s_r_p,len_s_r_m
724,000,1.0010000000e+00,-2.3962357017e-03,1.9477893872e-03,1.0006934000e+00,1.1237531805e-01,-1.1025508687e-05,9.2896653264e-06,1.4734877148e-01,6.0287465706e-01,2.0465020576e-01,1.9247513717e-01,1.0000000000e-04,5.8726355435e-01,-2.0941800873e-02,-4.7611403948e-02,0.044858361658045236,0.0368675007047146,0.039189529920024536
725,000,1.0010000000e+00,-2.4006813205e-03,1.9515442126e-03,1.0006934000e+00,1.1223256054e-01,-1.1035061105e-05,9.2330278334e-06,1.4753184880e-01,6.0284036351e-01,2.0459447874e-01,1.9256515775e-01,1.0000000000e-04,5.8667979334e-01,-2.0947709918e-02,-4.7626625655e-02,0.04484270746619932,0.036847865458811864,0.03919988055356839
726,000,1.0010000000e+00,-2.4050750335e-03,1.9552446825e-03,1.0006934000e+00,1.1208773606e-01,-1.1040733693e-05,9.1773030238e-06,1.4771712661e-01,6.0265775034e-01,2.0467163923e-01,1.9267061043e-01,1.0000000000e-04,5.8612475527e-01,-2.0953718594e-02,-4.7642067126e-02,0.04482706441505558,0.03682883827004692,0.03921078931524865
727,000,1.0010000000e+00,-2.4094232667e-03,1.9588956350e-03,1.0006934000e+00,1.1194104426e-01,-1.1042496786e-05,9.1224038695e-06,1.4790432682e-01,6.0238768861e-01,2.0494941701e-01,1.9266289438e-01,1.0000000000e-04,5.8559508540e-01,-2.0959814621e-02,-4.7657699229e-02,0.04481142688389137,0.03681036056537478,0.03922217984725339
728,000,1.0010000000e+00,-2.4137315457e-03,1.9625008844e-03,1.0006934000e+00,1.1179264182e-01,-1.1040319096e-05,9.0682642858e-06,1.4809320039e-01,6.0237397119e-01,2.0490226337e-01,1.9272376543e-01,1.0000000000e-04,5.8508798388e-01,-2.0965983260e-02,-4.7673487571e-02,0.044795768417795256,0.03678949730907167,0.03923111494775781
729,000,1.0010000000e+00,-2.4180046080e-03,1.9660634518e-03,1.0006934000e+00,1.1164265139e-01,-1.1034173852e-05,9.0148328153e-06,1.4828352513e-01,6.0247170782e-01,2.0495799040e-01,1.9257030178e-01,1.0000000000e-04,5.8460109526e-01,-2.0972207969e-02,-4.7689394037e-02,0.04478006673285963,0.03676788898033316,0.03922557131650968
730,000,1.0010000000e+00,-2.4222465067e-03,1.9695857555e-03,1.0006934000e+00,1.1149116830e-01,-1.1024043468e-05,8.9620682195e-06,1.4847510413e-01,6.0234053498e-01,2.0514574760e-01,1.9251371742e-01,1.0000000000e-04,5.8413241743e-01,-2.0978471057e-02,-4.7705378276e-02,0.04476432334195652,0.036748080313561235,0.03921889017975718
731,000,1.0010000000e+00,-2.4264607057e-03,1.9730697679e-03,1.0006934000e+00,1.1133826597e-01,-1.1009922782e-05,8.9099362960e-06,1.4866776425e-01,6.0217592593e-01,2.0525720165e-01,1.9256687243e-01,1.0000000000e-04,5.8368022906e-01,-2.0984754277e-02,-4.7721399032e-02,0.04474850856681937,0.03671674301143712,0.03921692261946005
732,000,1.0010000000e+00,-2.4306501694e-03,1.9765171426e-03,1.0006934000e+00,1.1118400023e-01,-1.0991820997e-05,8.8584075217e-06,1.4886135456e-01,6.0206532922e-01,2.0532064472e-01,1.9261402606e-01,1.0000000000e-04,5.8324303299e-01,-2.0991039350e-02,-4.7737415283e-02,0.04473260113527546,0.036682539617544876,0.03921904546818629
733,000,1.0010000000e+00,-2.4348174449e-03,1.9799293185e-03,1.0006934000e+00,1.1102841296e-01,-1.0969762523e-05,8.8074552811e-06,1.4905574460e-01,6.0185528121e-01,2.0542524005e-01,1.9271947874e-01,1.0000000000e-04,5.8281951254e-01,-2.0997308392e-02,-4.7753387158e-02,0.04471658902201717,0.036701848612778434,0.03922146452588689
