"c","Result","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.61603,0.80802,1,0.361,0.361,0.515,0
0.61539,0.80769,1,0.362,0.362,0.515,0
0.61474,0.80737,1,0.363,0.363,0.515,0
0.6141,0.80705,1,0.364,0.364,0.515,0
0.61346,0.80673,1,0.365,0.365,0.515,0
0.61281,0.80641,1,0.366,0.366,0.515,0
0.61217,0.80609,1,0.367,0.367,0.515,0
0.61154,0.80577,1,0.368,0.368,0.515,0
0.6109,0.80545,1,0.369,0.369,0.515,0
0.61026,0.80513,1,0.37,0.37,0.515,0
0.60963,0.80481,1,0.371,0.371,0.515,0
0.609,0.8045,1,0.372,0.372,0.515,0
0.60837,0.80418,1,0.373,0.373,0.515,0
0.60774,0.80387,1,0.374,0.374,0.515,0
0.60711,0.80355,1,0.375,0.375,0.515,0
0.60648,0.80324,1,0.376,0.376,0.515,0
0.60586,0.80293,1,0.377,0.377,0.515,0
0.60523,0.80262,1,0.378,0.378,0.515,0
0.60461,0.8023,1,0.379,0.379,0.515,0
0.60399,0.80199,1,0.38,0.38,0.515,0
0.60337,0.80168,1,0.381,0.381,0.515,0
0.60275,0.80137,1,0.382,0.382,0.515,0
0.60213,0.80107,1,0.383,0.383,0.515,0
0.60152,0.80076,1,0.384,0.384,0.515,0
0.6009,0.80045,1,0.385,0.385,0.515,0
0.60029,0.80014,1,0.386,0.386,0.515,0
0.59968,0.79984,1,0.387,0.387,0.515,0
0.59907,0.79953,1,0.388,0.388,0.515,0
0.59846,0.79923,1,0.389,0.389,0.515,0
0.59785,0.79893,1,0.39,0.39,0.515,0
0.59724,0.79862,1,0.391,0.391,0.515,0
0.59664,0.79832,1,0.392,0.392,0.515,0
0.59604,0.79802,1,0.393,0.393,0.515,0
0.59543,0.79772,1,0.394,0.394,0.515,0
0.59487,0.79744,1,0.395,0.395,0.515,0
0.59431,0.79715,1,0.396,0.396,0.515,0
0.59375,0.79687,1,0.397,0.397,0.515,0
0.59319,0.79659,1,0.398,0.398,0.515,0
0.59263,0.79631,1,0.399,0.399,0.515,0
0.59207,0.79604,1,0.4,0.4,0.515,0
0.59152,0.79576,1,0.401,0.401,0.515,0
0.59096,0.79548,1,0.402,0.402,0.515,0
0.59041,0.7952,1,0.403,0.403,0.515,0
0.58985,0.79493,1,0.404,0.404,0.515,0
0.5893,0.79465,1,0.405,0.405,0.515,0
0.58875,0.79438,1,0.406,0.406,0.515,0
0.58821,0.7941,1,0.407,0.407,0.515,0
0.58766,0.79383,1,0.408,0.408,0.515,0
0.58711,0.79356,1,0.409,0.409,0.515,0
0.58657,0.79328,1,0.41,0.41,0.515,0
0.58603,0.79301,1,0.411,0.411,0.515,0
0.58548,0.79274,1,0.412,0.412,0.515,0
0.58494,0.79247,1,0.413,0.413,0.515,0
0.5844,0.7922,1,0.414,0.414,0.515,0
0.58386,0.79193,1,0.415,0.415,0.515,0
0.58333,0.79166,1,0.416,0.416,0.515,0
0.58279,0.7914,1,0.417,0.417,0.515,0
0.58226,0.79113,1,0.418,0.418,0.515,0
0.58172,0.79086,1,0.419,0.419,0.515,0
0.58119,0.7906,1,0.42,0.42,0.515,0
0.58066,0.79033,1,0.421,0.421,0.515,0
0.58013,0.79007,1,0.422,0.422,0.515,0
0.5796,0.7898,1,0.423,0.423,0.515,0
0.57908,0.78954,1,0.424,0.424,0.515,0
0.57855,0.78928,1,0.425,0.425,0.515,0
0.57803,0.78901,1,0.426,0.426,0.515,0
0.5775,0.78875,1,0.427,0.427,0.515,0
0.57698,0.78849,1,0.428,0.428,0.515,0
0.57646,0.78823,1,0.429,0.429,0.515,0
0.57594,0.78797,1,0.43,0.43,0.515,0
0.57541,0.78771,1,0.431,0.431,0.515,0
0.57489,0.78744,1,0.432,0.432,0.515,0
0.57437,0.78718,1,0.433,0.433,0.515,0
0.57384,0.78692,1,0.434,0.434,0.515,0
0.57332,0.78666,1,0.435,0.435,0.515,0
0.5728,0.7864,1,0.436,0.436,0.515,0
0.57229,0.78615,1,0.437,0.437,0.515,0
0.57181,0.7859,1,0.438,0.438,0.515,0
0.57132,0.78566,1,0.439,0.439,0.515,0
0.57084,0.78542,1,0.44,0.44,0.515,0
0.57036,0.78518,1,0.441,0.441,0.515,0
0.56988,0.78494,1,0.442,0.442,0.515,0
0.5694,0.7847,1,0.443,0.443,0.515,0
0.56893,0.78446,1,0.444,0.444,0.515,0
0.56845,0.78423,1,0.445,0.445,0.515,0
0.56798,0.78399,1,0.446,0.446,0.515,0
0.5675,0.78375,1,0.447,0.447,0.515,0
0.56703,0.78351,1,0.448,0.448,0.515,0
0.56656,0.78328,1,0.449,0.449,0.515,0
0.56609,0.78304,1,0.45,0.45,0.515,0
0.56562,0.78281,1,0.451,0.451,0.515,0
0.56515,0.78258,1,0.452,0.452,0.515,0
0.56468,0.78234,1,0.453,0.453,0.515,0
0.56422,0.78211,1,0.454,0.454,0.515,0
0.56375,0.78188,1,0.455,0.455,0.515,0
0.56329,0.78164,1,0.456,0.456,0.515,0
0.56283,0.78141,1,0.457,0.457,0.515,0
0.56236,0.78118,1,0.458,0.458,0.515,0
0.5619,0.78095,1,0.459,0.459,0.515,0
0.56145,0.78072,1,0.46,0.46,0.515,0
0.56099,0.78049,1,0.461,0.461,0.515,0
0.56053,0.78027,1,0.462,0.462,0.515,0
0.56007,0.78004,1,0.463,0.463,0.515,0
0.55962,0.77981,1,0.464,0.464,0.515,0
0.55917,0.77958,1,0.465,0.465,0.515,0
0.55871,0.77936,1,0.466,0.466,0.515,0
0.55826,0.77913,1,0.467,0.467,0.515,0
0.55781,0.77891,1,0.468,0.468,0.515,0
0.55736,0.77868,1,0.469,0.469,0.515,0
0.55691,0.77846,1,0.47,0.47,0.515,0
0.55647,0.77823,1,0.471,0.471,0.515,0
0.55602,0.77801,1,0.472,0.472,0.515,0
0.55558,0.77779,1,0.473,0.473,0.515,0
0.55513,0.77757,1,0.474,0.474,0.515,0
0.55469,0.77734,1,0.475,0.475,0.515,0
0.55425,0.77712,1,0.476,0.476,0.515,0
0.55381,0.7769,1,0.477,0.477,0.515,0
0.55337,0.77668,1,0.478,0.478,0.515,0
0.55293,0.77646,1,0.479,0.479,0.515,0
0.55249,0.77625,1,0.48,0.48,0.515,0
0.55206,0.77603,1,0.481,0.481,0.515,0
0.55162,0.77581,1,0.482,0.482,0.515,0
0.55119,0.77559,1,0.483,0.483,0.515,0
0.55075,0.77538,1,0.484,0.484,0.515,0
0.55032,0.77516,1,0.485,0.485,0.515,0
0.54989,0.77495,1,0.486,0.486,0.515,0
0.54949,0.77474,1,0.487,0.487,0.515,0
0.54908,0.77454,1,0.488,0.488,0.515,0
0.54867,0.77434,1,0.489,0.489,0.515,0
0.54827,0.77414,1,0.49,0.49,0.515,0
0.54787,0.77393,1,0.491,0.491,0.515,0
0.54747,0.77373,1,0.492,0.492,0.515,0
0.54707,0.77354,1,0.493,0.493,0.515,0
0.54667,0.77334,1,0.494,0.494,0.515,0
0.54628,0.77314,1,0.495,0.495,0.515,0
0.54589,0.77294,1,0.496,0.496,0.515,0
0.5455,0.77275,1,0.497,0.497,0.515,0
