"concentration","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.37206e-02,1,1.38000e-01,4.85000e-01,1.38000e-01,0.00000e+00
9.43393e-02,1,1.39000e-01,4.85000e-01,1.39000e-01,0.00000e+00
9.49573e-02,1,1.40000e-01,4.85000e-01,1.40000e-01,0.00000e+00
9.55748e-02,1,1.41000e-01,4.85000e-01,1.41000e-01,0.00000e+00
9.61916e-02,1,1.42000e-01,4.85000e-01,1.42000e-01,0.00000e+00
9.68078e-02,1,1.43000e-01,4.85000e-01,1.43000e-01,0.00000e+00
9.74234e-02,1,1.44000e-01,4.85000e-01,1.44000e-01,0.00000e+00
9.80384e-02,1,1.45000e-01,4.85000e-01,1.45000e-01,0.00000e+00
9.86528e-02,1,1.46000e-01,4.85000e-01,1.46000e-01,0.00000e+00
9.92666e-02,1,1.47000e-01,4.85000e-01,1.47000e-01,0.00000e+00
9.98798e-02,1,1.48000e-01,4.85000e-01,1.48000e-01,0.00000e+00
1.00492e-01,1,1.49000e-01,4.85000e-01,1.49000e-01,0.00000e+00
1.01104e-01,1,1.50000e-01,4.85000e-01,1.50000e-01,0.00000e+00
1.01716e-01,1,1.51000e-01,4.85000e-01,1.51000e-01,0.00000e+00
1.02327e-01,1,1.52000e-01,4.85000e-01,1.52000e-01,0.00000e+00
1.02937e-01,1,1.53000e-01,4.85000e-01,1.53000e-01,0.00000e+00
1.03547e-01,1,1.54000e-01,4.85000e-01,1.54000e-01,0.00000e+00
1.04156e-01,1,1.55000e-01,4.85000e-01,1.55000e-01,0.00000e+00
1.04764e-01,1,1.56000e-01,4.85000e-01,1.56000e-01,0.00000e+00
1.05372e-01,1,1.57000e-01,4.85000e-01,1.57000e-01,0.00000e+00
1.05980e-01,1,1.58000e-01,4.85000e-01,1.58000e-01,0.00000e+00
1.06586e-01,1,1.59000e-01,4.85000e-01,1.59000e-01,0.00000e+00
1.07193e-01,1,1.60000e-01,4.85000e-01,1.60000e-01,0.00000e+00
1.07798e-01,1,1.61000e-01,4.85000e-01,1.61000e-01,0.00000e+00
1.08403e-01,1,1.62000e-01,4.85000e-01,1.62000e-01,0.00000e+00
1.09002e-01,1,1.63000e-01,4.85000e-01,1.63000e-01,0.00000e+00
1.09582e-01,1,1.64000e-01,4.85000e-01,1.64000e-01,0.00000e+00
1.10162e-01,1,1.65000e-01,4.85000e-01,1.65000e-01,0.00000e+00
1.10742e-01,1,1.66000e-01,4.85000e-01,1.66000e-01,0.00000e+00
1.11321e-01,1,1.67000e-01,4.85000e-01,1.67000e-01,0.00000e+00
1.11899e-01,1,1.68000e-01,4.85000e-01,1.68000e-01,0.00000e+00
1.12477e-01,1,1.69000e-01,4.85000e-01,1.69000e-01,0.00000e+00
1.13054e-01,1,1.70000e-01,4.85000e-01,1.70000e-01,0.00000e+00
1.13630e-01,1,1.71000e-01,4.85000e-01,1.71000e-01,0.00000e+00
1.14206e-01,1,1.72000e-01,4.85000e-01,1.72000e-01,0.00000e+00
1.14782e-01,1,1.73000e-01,4.85000e-01,1.73000e-01,0.00000e+00
1.15356e-01,1,1.74000e-01,4.85000e-01,1.74000e-01,0.00000e+00
1.15930e-01,1,1.75000e-01,4.85000e-01,1.75000e-01,0.00000e+00
1.16504e-01,1,1.76000e-01,4.85000e-01,1.76000e-01,0.00000e+00
1.17077e-01,1,1.77000e-01,4.85000e-01,1.77000e-01,0.00000e+00
1.17649e-01,1,1.78000e-01,4.85000e-01,1.78000e-01,0.00000e+00
1.18221e-01,1,1.79000e-01,4.85000e-01,1.79000e-01,0.00000e+00
1.18792e-01,1,1.80000e-01,4.85000e-01,1.80000e-01,0.00000e+00
1.19378e-01,1,1.81000e-01,4.85000e-01,1.81000e-01,0.00000e+00
1.19963e-01,1,1.82000e-01,4.85000e-01,1.82000e-01,0.00000e+00
1.20548e-01,1,1.83000e-01,4.85000e-01,1.83000e-01,0.00000e+00
1.21132e-01,1,1.84000e-01,4.85000e-01,1.84000e-01,0.00000e+00
1.21715e-01,1,1.85000e-01,4.85000e-01,1.85000e-01,0.00000e+00
1.22298e-01,1,1.86000e-01,4.85000e-01,1.86000e-01,0.00000e+00
1.22880e-01,1,1.87000e-01,4.85000e-01,1.87000e-01,0.00000e+00
1.23461e-01,1,1.88000e-01,4.85000e-01,1.88000e-01,0.00000e+00
1.24042e-01,1,1.89000e-01,4.85000e-01,1.89000e-01,0.00000e+00
1.24622e-01,1,1.90000e-01,4.85000e-01,1.90000e-01,0.00000e+00
1.25202e-01,1,1.91000e-01,4.85000e-01,1.91000e-01,0.00000e+00
1.25781e-01,1,1.92000e-01,4.85000e-01,1.92000e-01,0.00000e+00
1.26359e-01,1,1.93000e-01,4.85000e-01,1.93000e-01,0.00000e+00
1.26937e-01,1,1.94000e-01,4.85000e-01,1.94000e-01,0.00000e+00
1.27514e-01,1,1.95000e-01,4.85000e-01,1.95000e-01,0.00000e+00
1.28090e-01,1,1.96000e-01,4.85000e-01,1.96000e-01,0.00000e+00
1.28666e-01,1,1.97000e-01,4.85000e-01,1.97000e-01,0.00000e+00
1.29241e-01,1,1.98000e-01,4.85000e-01,1.98000e-01,0.00000e+00
1.29811e-01,1,1.99000e-01,4.85000e-01,1.99000e-01,0.00000e+00
1.30363e-01,1,2.00000e-01,4.85000e-01,2.00000e-01,0.00000e+00
1.30915e-01,1,2.01000e-01,4.85000e-01,2.01000e-01,0.00000e+00
1.31466e-01,1,2.02000e-01,4.85000e-01,2.02000e-01,0.00000e+00
1.32017e-01,1,2.03000e-01,4.85000e-01,2.03000e-01,0.00000e+00
1.32567e-01,1,2.04000e-01,4.85000e-01,2.04000e-01,0.00000e+00
1.33116e-01,1,2.05000e-01,4.85000e-01,2.05000e-01,0.00000e+00
